[0,0,START]	[1,0,NORMAL]	[2,0,NORMAL]	[3,0,NORMAL]	[4,0,NORMAL]	[5,0,NORMAL]	[6,0,NORMAL]	[7,0,NORMAL]	[8,0,NORMAL]	[9,0,NORMAL]	[10,0,NORMAL]	[11,0,NORMAL]	[12,0,NORMAL]	[13,0,NORMAL]	[14,0,NORMAL]	[15,0,NORMAL]	[16,0,NORMAL]	[17,0,NORMAL]	[18,0,NORMAL]	[19,0,NORMAL]	[20,0,NORMAL]	[21,0,NORMAL]	[22,0,NORMAL]	[23,0,NORMAL]	[24,0,NORMAL]	[25,0,NORMAL]	[26,0,NORMAL]	[27,0,NORMAL]	[28,0,NORMAL]	[29,0,NORMAL]	[30,0,NORMAL]	[31,0,NORMAL]	[32,0,NORMAL]	[33,0,NORMAL]	[34,0,NORMAL]	[35,0,NORMAL]	[36,0,NORMAL]	[37,0,NORMAL]	[38,0,NORMAL]	[39,0,NORMAL]	[40,0,NORMAL]	[41,0,NORMAL]	[42,0,NORMAL]	[43,0,NORMAL]	[44,0,NORMAL]
[0,11,NORMAL]	[1,11,BLOCKED]	[2,11,NORMAL]	[3,11,BLOCKED]	[4,11,NORMAL]	[5,11,BLOCKED]	[6,11,NORMAL]	[7,11,BLOCKED]	[8,11,NORMAL]	[9,11,BLOCKED]	[10,11,NORMAL]	[11,11,BLOCKED]	[12,11,NORMAL]	[13,11,BLOCKED]	[14,11,NORMAL]	[15,11,BLOCKED]	[16,11,NORMAL]	[17,11,BLOCKED]	[18,11,NORMAL]	[19,11,BLOCKED]	[20,11,NORMAL]	[21,11,BLOCKED]	[22,11,NORMAL]	[23,11,BLOCKED]	[24,11,NORMAL]	[25,11,BLOCKED]	[26,11,NORMAL]	[27,11,BLOCKED]	[28,11,NORMAL]	[29,11,BLOCKED]	[30,11,NORMAL]	[31,11,BLOCKED]	[32,11,NORMAL]	[33,11,BLOCKED]	[34,11,NORMAL]	[35,11,BLOCKED]	[36,11,NORMAL]	[37,11,BLOCKED]	[38,11,NORMAL]	[39,11,BLOCKED]	[40,11,NORMAL]	[41,11,BLOCKED]	[42,11,NORMAL]	[43,11,BLOCKED]	[44,11,NORMAL]
[0,12,NORMAL]	[1,12,BLOCKED]	[2,12,NORMAL]	[3,12,BLOCKED]	[4,12,NORMAL]	[5,12,BLOCKED]	[6,12,NORMAL]	[7,12,BLOCKED]	[8,12,NORMAL]	[9,12,BLOCKED]	[10,12,NORMAL]	[11,12,BLOCKED]	[12,12,NORMAL]	[13,12,BLOCKED]	[14,12,NORMAL]	[15,12,BLOCKED]	[16,12,NORMAL]	[17,12,BLOCKED]	[18,12,NORMAL]	[19,12,BLOCKED]	[20,12,NORMAL]	[21,12,BLOCKED]	[22,12,NORMAL]	[23,12,BLOCKED]	[24,12,NORMAL]	[25,12,BLOCKED]	[26,12,NORMAL]	[27,12,BLOCKED]	[28,12,NORMAL]	[29,12,BLOCKED]	[30,12,NORMAL]	[31,12,BLOCKED]	[32,12,NORMAL]	[33,12,BLOCKED]	[34,12,NORMAL]	[35,12,BLOCKED]	[36,12,NORMAL]	[37,12,BLOCKED]	[38,12,NORMAL]	[39,12,BLOCKED]	[40,12,NORMAL]	[41,12,BLOCKED]	[42,12,NORMAL]	[43,12,BLOCKED]	[44,12,NORMAL]
[0,13,NORMAL]	[1,13,BLOCKED]	[2,13,NORMAL]	[3,13,BLOCKED]	[4,13,NORMAL]	[5,13,BLOCKED]	[6,13,NORMAL]	[7,13,BLOCKED]	[8,13,NORMAL]	[9,13,BLOCKED]	[10,13,NORMAL]	[11,13,BLOCKED]	[12,13,NORMAL]	[13,13,BLOCKED]	[14,13,NORMAL]	[15,13,BLOCKED]	[16,13,NORMAL]	[17,13,BLOCKED]	[18,13,NORMAL]	[19,13,BLOCKED]	[20,13,NORMAL]	[21,13,BLOCKED]	[22,13,NORMAL]	[23,13,BLOCKED]	[24,13,NORMAL]	[25,13,BLOCKED]	[26,13,NORMAL]	[27,13,BLOCKED]	[28,13,NORMAL]	[29,13,BLOCKED]	[30,13,NORMAL]	[31,13,BLOCKED]	[32,13,NORMAL]	[33,13,BLOCKED]	[34,13,NORMAL]	[35,13,BLOCKED]	[36,13,NORMAL]	[37,13,BLOCKED]	[38,13,NORMAL]	[39,13,BLOCKED]	[40,13,NORMAL]	[41,13,BLOCKED]	[42,13,NORMAL]	[43,13,BLOCKED]	[44,13,NORMAL]
[0,14,NORMAL]	[1,14,BLOCKED]	[2,14,NORMAL]	[3,14,BLOCKED]	[4,14,NORMAL]	[5,14,BLOCKED]	[6,14,NORMAL]	[7,14,BLOCKED]	[8,14,NORMAL]	[9,14,BLOCKED]	[10,14,NORMAL]	[11,14,BLOCKED]	[12,14,NORMAL]	[13,14,BLOCKED]	[14,14,NORMAL]	[15,14,BLOCKED]	[16,14,NORMAL]	[17,14,BLOCKED]	[18,14,NORMAL]	[19,14,BLOCKED]	[20,14,NORMAL]	[21,14,BLOCKED]	[22,14,NORMAL]	[23,14,BLOCKED]	[24,14,NORMAL]	[25,14,BLOCKED]	[26,14,NORMAL]	[27,14,BLOCKED]	[28,14,NORMAL]	[29,14,BLOCKED]	[30,14,NORMAL]	[31,14,BLOCKED]	[32,14,NORMAL]	[33,14,BLOCKED]	[34,14,NORMAL]	[35,14,BLOCKED]	[36,14,NORMAL]	[37,14,BLOCKED]	[38,14,NORMAL]	[39,14,BLOCKED]	[40,14,NORMAL]	[41,14,BLOCKED]	[42,14,NORMAL]	[43,14,BLOCKED]	[44,14,NORMAL]
[0,15,NORMAL]	[1,15,BLOCKED]	[2,15,NORMAL]	[3,15,BLOCKED]	[4,15,NORMAL]	[5,15,BLOCKED]	[6,15,NORMAL]	[7,15,BLOCKED]	[8,15,NORMAL]	[9,15,BLOCKED]	[10,15,NORMAL]	[11,15,BLOCKED]	[12,15,NORMAL]	[13,15,BLOCKED]	[14,15,NORMAL]	[15,15,BLOCKED]	[16,15,NORMAL]	[17,15,BLOCKED]	[18,15,NORMAL]	[19,15,BLOCKED]	[20,15,NORMAL]	[21,15,BLOCKED]	[22,15,NORMAL]	[23,15,BLOCKED]	[24,15,NORMAL]	[25,15,BLOCKED]	[26,15,NORMAL]	[27,15,BLOCKED]	[28,15,NORMAL]	[29,15,BLOCKED]	[30,15,NORMAL]	[31,15,BLOCKED]	[32,15,NORMAL]	[33,15,BLOCKED]	[34,15,NORMAL]	[35,15,BLOCKED]	[36,15,NORMAL]	[37,15,BLOCKED]	[38,15,NORMAL]	[39,15,BLOCKED]	[40,15,NORMAL]	[41,15,BLOCKED]	[42,15,NORMAL]	[43,15,BLOCKED]	[44,15,NORMAL]
[0,16,NORMAL]	[1,16,BLOCKED]	[2,16,NORMAL]	[3,16,BLOCKED]	[4,16,NORMAL]	[5,16,BLOCKED]	[6,16,NORMAL]	[7,16,BLOCKED]	[8,16,NORMAL]	[9,16,BLOCKED]	[10,16,NORMAL]	[11,16,BLOCKED]	[12,16,NORMAL]	[13,16,BLOCKED]	[14,16,NORMAL]	[15,16,BLOCKED]	[16,16,NORMAL]	[17,16,BLOCKED]	[18,16,NORMAL]	[19,16,BLOCKED]	[20,16,NORMAL]	[21,16,BLOCKED]	[22,16,NORMAL]	[23,16,BLOCKED]	[24,16,NORMAL]	[25,16,BLOCKED]	[26,16,NORMAL]	[27,16,BLOCKED]	[28,16,NORMAL]	[29,16,BLOCKED]	[30,16,NORMAL]	[31,16,BLOCKED]	[32,16,NORMAL]	[33,16,BLOCKED]	[34,16,NORMAL]	[35,16,BLOCKED]	[36,16,NORMAL]	[37,16,BLOCKED]	[38,16,NORMAL]	[39,16,BLOCKED]	[40,16,NORMAL]	[41,16,BLOCKED]	[42,16,NORMAL]	[43,16,BLOCKED]	[44,16,NORMAL]
[0,17,NORMAL]	[1,17,BLOCKED]	[2,17,NORMAL]	[3,17,BLOCKED]	[4,17,NORMAL]	[5,17,BLOCKED]	[6,17,NORMAL]	[7,17,BLOCKED]	[8,17,NORMAL]	[9,17,BLOCKED]	[10,17,NORMAL]	[11,17,BLOCKED]	[12,17,NORMAL]	[13,17,BLOCKED]	[14,17,NORMAL]	[15,17,BLOCKED]	[16,17,NORMAL]	[17,17,BLOCKED]	[18,17,NORMAL]	[19,17,BLOCKED]	[20,17,NORMAL]	[21,17,BLOCKED]	[22,17,NORMAL]	[23,17,BLOCKED]	[24,17,NORMAL]	[25,17,BLOCKED]	[26,17,NORMAL]	[27,17,BLOCKED]	[28,17,NORMAL]	[29,17,BLOCKED]	[30,17,NORMAL]	[31,17,BLOCKED]	[32,17,NORMAL]	[33,17,BLOCKED]	[34,17,NORMAL]	[35,17,BLOCKED]	[36,17,NORMAL]	[37,17,BLOCKED]	[38,17,NORMAL]	[39,17,BLOCKED]	[40,17,NORMAL]	[41,17,BLOCKED]	[42,17,NORMAL]	[43,17,BLOCKED]	[44,17,NORMAL]
[0,18,NORMAL]	[1,18,BLOCKED]	[2,18,NORMAL]	[3,18,BLOCKED]	[4,18,NORMAL]	[5,18,BLOCKED]	[6,18,NORMAL]	[7,18,BLOCKED]	[8,18,NORMAL]	[9,18,BLOCKED]	[10,18,NORMAL]	[11,18,BLOCKED]	[12,18,NORMAL]	[13,18,BLOCKED]	[14,18,NORMAL]	[15,18,BLOCKED]	[16,18,NORMAL]	[17,18,BLOCKED]	[18,18,NORMAL]	[19,18,BLOCKED]	[20,18,NORMAL]	[21,18,BLOCKED]	[22,18,NORMAL]	[23,18,BLOCKED]	[24,18,NORMAL]	[25,18,BLOCKED]	[26,18,NORMAL]	[27,18,BLOCKED]	[28,18,NORMAL]	[29,18,BLOCKED]	[30,18,NORMAL]	[31,18,BLOCKED]	[32,18,NORMAL]	[33,18,BLOCKED]	[34,18,NORMAL]	[35,18,BLOCKED]	[36,18,NORMAL]	[37,18,BLOCKED]	[38,18,NORMAL]	[39,18,BLOCKED]	[40,18,NORMAL]	[41,18,BLOCKED]	[42,18,NORMAL]	[43,18,BLOCKED]	[44,18,NORMAL]
[0,19,NORMAL]	[1,19,BLOCKED]	[2,19,NORMAL]	[3,19,BLOCKED]	[4,19,NORMAL]	[5,19,BLOCKED]	[6,19,NORMAL]	[7,19,BLOCKED]	[8,19,NORMAL]	[9,19,BLOCKED]	[10,19,NORMAL]	[11,19,BLOCKED]	[12,19,NORMAL]	[13,19,BLOCKED]	[14,19,NORMAL]	[15,19,BLOCKED]	[16,19,NORMAL]	[17,19,BLOCKED]	[18,19,NORMAL]	[19,19,BLOCKED]	[20,19,NORMAL]	[21,19,BLOCKED]	[22,19,NORMAL]	[23,19,BLOCKED]	[24,19,NORMAL]	[25,19,BLOCKED]	[26,19,NORMAL]	[27,19,BLOCKED]	[28,19,NORMAL]	[29,19,BLOCKED]	[30,19,NORMAL]	[31,19,BLOCKED]	[32,19,NORMAL]	[33,19,BLOCKED]	[34,19,NORMAL]	[35,19,BLOCKED]	[36,19,NORMAL]	[37,19,BLOCKED]	[38,19,NORMAL]	[39,19,BLOCKED]	[40,19,NORMAL]	[41,19,BLOCKED]	[42,19,NORMAL]	[43,19,BLOCKED]	[44,19,NORMAL]
[0,20,NORMAL]	[1,20,BLOCKED]	[2,20,NORMAL]	[3,20,BLOCKED]	[4,20,NORMAL]	[5,20,BLOCKED]	[6,20,NORMAL]	[7,20,BLOCKED]	[8,20,NORMAL]	[9,20,BLOCKED]	[10,20,NORMAL]	[11,20,BLOCKED]	[12,20,NORMAL]	[13,20,BLOCKED]	[14,20,NORMAL]	[15,20,BLOCKED]	[16,20,NORMAL]	[17,20,BLOCKED]	[18,20,NORMAL]	[19,20,BLOCKED]	[20,20,NORMAL]	[21,20,BLOCKED]	[22,20,NORMAL]	[23,20,BLOCKED]	[24,20,NORMAL]	[25,20,BLOCKED]	[26,20,NORMAL]	[27,20,BLOCKED]	[28,20,NORMAL]	[29,20,BLOCKED]	[30,20,NORMAL]	[31,20,BLOCKED]	[32,20,NORMAL]	[33,20,BLOCKED]	[34,20,NORMAL]	[35,20,BLOCKED]	[36,20,NORMAL]	[37,20,BLOCKED]	[38,20,NORMAL]	[39,20,BLOCKED]	[40,20,NORMAL]	[41,20,BLOCKED]	[42,20,NORMAL]	[43,20,BLOCKED]	[44,20,NORMAL]
[0,21,NORMAL]	[1,21,BLOCKED]	[2,21,NORMAL]	[3,21,BLOCKED]	[4,21,NORMAL]	[5,21,BLOCKED]	[6,21,NORMAL]	[7,21,BLOCKED]	[8,21,NORMAL]	[9,21,BLOCKED]	[10,21,NORMAL]	[11,21,BLOCKED]	[12,21,NORMAL]	[13,21,BLOCKED]	[14,21,NORMAL]	[15,21,BLOCKED]	[16,21,NORMAL]	[17,21,BLOCKED]	[18,21,NORMAL]	[19,21,BLOCKED]	[20,21,NORMAL]	[21,21,BLOCKED]	[22,21,NORMAL]	[23,21,BLOCKED]	[24,21,NORMAL]	[25,21,BLOCKED]	[26,21,NORMAL]	[27,21,BLOCKED]	[28,21,NORMAL]	[29,21,BLOCKED]	[30,21,NORMAL]	[31,21,BLOCKED]	[32,21,NORMAL]	[33,21,BLOCKED]	[34,21,NORMAL]	[35,21,BLOCKED]	[36,21,NORMAL]	[37,21,BLOCKED]	[38,21,NORMAL]	[39,21,BLOCKED]	[40,21,NORMAL]	[41,21,BLOCKED]	[42,21,NORMAL]	[43,21,BLOCKED]	[44,21,NORMAL]
[0,22,NORMAL]	[1,22,BLOCKED]	[2,22,NORMAL]	[3,22,BLOCKED]	[4,22,NORMAL]	[5,22,BLOCKED]	[6,22,NORMAL]	[7,22,BLOCKED]	[8,22,NORMAL]	[9,22,BLOCKED]	[10,22,NORMAL]	[11,22,BLOCKED]	[12,22,NORMAL]	[13,22,BLOCKED]	[14,22,NORMAL]	[15,22,BLOCKED]	[16,22,NORMAL]	[17,22,BLOCKED]	[18,22,NORMAL]	[19,22,BLOCKED]	[20,22,NORMAL]	[21,22,BLOCKED]	[22,22,NORMAL]	[23,22,BLOCKED]	[24,22,NORMAL]	[25,22,BLOCKED]	[26,22,NORMAL]	[27,22,BLOCKED]	[28,22,NORMAL]	[29,22,BLOCKED]	[30,22,NORMAL]	[31,22,BLOCKED]	[32,22,NORMAL]	[33,22,BLOCKED]	[34,22,NORMAL]	[35,22,BLOCKED]	[36,22,NORMAL]	[37,22,BLOCKED]	[38,22,NORMAL]	[39,22,BLOCKED]	[40,22,NORMAL]	[41,22,BLOCKED]	[42,22,NORMAL]	[43,22,BLOCKED]	[44,22,NORMAL]
[0,23,NORMAL]	[1,23,BLOCKED]	[2,23,NORMAL]	[3,23,BLOCKED]	[4,23,NORMAL]	[5,23,BLOCKED]	[6,23,NORMAL]	[7,23,BLOCKED]	[8,23,NORMAL]	[9,23,BLOCKED]	[10,23,NORMAL]	[11,23,BLOCKED]	[12,23,NORMAL]	[13,23,BLOCKED]	[14,23,NORMAL]	[15,23,BLOCKED]	[16,23,NORMAL]	[17,23,BLOCKED]	[18,23,NORMAL]	[19,23,BLOCKED]	[20,23,NORMAL]	[21,23,BLOCKED]	[22,23,NORMAL]	[23,23,BLOCKED]	[24,23,NORMAL]	[25,23,BLOCKED]	[26,23,NORMAL]	[27,23,BLOCKED]	[28,23,NORMAL]	[29,23,BLOCKED]	[30,23,NORMAL]	[31,23,BLOCKED]	[32,23,NORMAL]	[33,23,BLOCKED]	[34,23,NORMAL]	[35,23,BLOCKED]	[36,23,NORMAL]	[37,23,BLOCKED]	[38,23,NORMAL]	[39,23,BLOCKED]	[40,23,NORMAL]	[41,23,BLOCKED]	[42,23,NORMAL]	[43,23,BLOCKED]	[44,23,NORMAL]
