[0,0,NORMAL]	[1,0,NORMAL]	[2,0,NORMAL]	[3,0,NORMAL]	[4,0,NORMAL]	[5,0,NORMAL]	[6,0,NORMAL]	[7,0,NORMAL]	[8,0,NORMAL]	[9,0,NORMAL]	[10,0,NORMAL]	[11,0,NORMAL]	[12,0,NORMAL]	[13,0,NORMAL]	[14,0,NORMAL]	[15,0,NORMAL]	[16,0,NORMAL]	[17,0,NORMAL]	[18,0,NORMAL]	[19,0,NORMAL]	[20,0,NORMAL]	[21,0,NORMAL]	[22,0,NORMAL]	[23,0,NORMAL]	[24,0,NORMAL]	[25,0,NORMAL]	[26,0,NORMAL]	[27,0,NORMAL]	[28,0,NORMAL]	[29,0,NORMAL]	[30,0,NORMAL]	[31,0,NORMAL]	[32,0,NORMAL]	[33,0,NORMAL]	[34,0,NORMAL]	[35,0,NORMAL]	[36,0,NORMAL]	[37,0,NORMAL]	[38,0,NORMAL]	[39,0,NORMAL]	[40,0,NORMAL]	[41,0,NORMAL]	[42,0,NORMAL]	[43,0,NORMAL]	[44,0,NORMAL]
[0,11,NORMAL]	[1,11,NORMAL]	[2,11,NORMAL]	[3,11,NORMAL]	[4,11,NORMAL]	[5,11,NORMAL]	[6,11,NORMAL]	[7,11,NORMAL]	[8,11,NORMAL]	[9,11,NORMAL]	[10,11,NORMAL]	[11,11,NORMAL]	[12,11,NORMAL]	[13,11,NORMAL]	[14,11,NORMAL]	[15,11,NORMAL]	[16,11,NORMAL]	[17,11,NORMAL]	[18,11,NORMAL]	[19,11,NORMAL]	[20,11,NORMAL]	[21,11,NORMAL]	[22,11,NORMAL]	[23,11,NORMAL]	[24,11,NORMAL]	[25,11,NORMAL]	[26,11,NORMAL]	[27,11,NORMAL]	[28,11,NORMAL]	[29,11,NORMAL]	[30,11,NORMAL]	[31,11,NORMAL]	[32,11,NORMAL]	[33,11,NORMAL]	[34,11,NORMAL]	[35,11,NORMAL]	[36,11,NORMAL]	[37,11,NORMAL]	[38,11,NORMAL]	[39,11,NORMAL]	[40,11,NORMAL]	[41,11,NORMAL]	[42,11,NORMAL]	[43,11,NORMAL]	[44,11,NORMAL]
[0,12,NORMAL]	[1,12,NORMAL]	[2,12,NORMAL]	[3,12,NORMAL]	[4,12,NORMAL]	[5,12,NORMAL]	[6,12,NORMAL]	[7,12,NORMAL]	[8,12,NORMAL]	[9,12,NORMAL]	[10,12,NORMAL]	[11,12,NORMAL]	[12,12,NORMAL]	[13,12,NORMAL]	[14,12,NORMAL]	[15,12,NORMAL]	[16,12,NORMAL]	[17,12,NORMAL]	[18,12,NORMAL]	[19,12,NORMAL]	[20,12,NORMAL]	[21,12,NORMAL]	[22,12,NORMAL]	[23,12,NORMAL]	[24,12,NORMAL]	[25,12,NORMAL]	[26,12,NORMAL]	[27,12,NORMAL]	[28,12,NORMAL]	[29,12,NORMAL]	[30,12,NORMAL]	[31,12,NORMAL]	[32,12,NORMAL]	[33,12,NORMAL]	[34,12,NORMAL]	[35,12,NORMAL]	[36,12,NORMAL]	[37,12,NORMAL]	[38,12,NORMAL]	[39,12,NORMAL]	[40,12,NORMAL]	[41,12,NORMAL]	[42,12,NORMAL]	[43,12,NORMAL]	[44,12,NORMAL]
[0,13,NORMAL]	[1,13,NORMAL]	[2,13,NORMAL]	[3,13,NORMAL]	[4,13,NORMAL]	[5,13,NORMAL]	[6,13,NORMAL]	[7,13,NORMAL]	[8,13,NORMAL]	[9,13,NORMAL]	[10,13,NORMAL]	[11,13,NORMAL]	[12,13,NORMAL]	[13,13,NORMAL]	[14,13,NORMAL]	[15,13,NORMAL]	[16,13,NORMAL]	[17,13,NORMAL]	[18,13,NORMAL]	[19,13,NORMAL]	[20,13,NORMAL]	[21,13,NORMAL]	[22,13,NORMAL]	[23,13,NORMAL]	[24,13,NORMAL]	[25,13,NORMAL]	[26,13,NORMAL]	[27,13,NORMAL]	[28,13,NORMAL]	[29,13,NORMAL]	[30,13,NORMAL]	[31,13,NORMAL]	[32,13,NORMAL]	[33,13,NORMAL]	[34,13,NORMAL]	[35,13,NORMAL]	[36,13,NORMAL]	[37,13,NORMAL]	[38,13,NORMAL]	[39,13,NORMAL]	[40,13,NORMAL]	[41,13,NORMAL]	[42,13,NORMAL]	[43,13,NORMAL]	[44,13,NORMAL]
[0,14,NORMAL]	[1,14,NORMAL]	[2,14,NORMAL]	[3,14,NORMAL]	[4,14,NORMAL]	[5,14,NORMAL]	[6,14,NORMAL]	[7,14,NORMAL]	[8,14,NORMAL]	[9,14,NORMAL]	[10,14,NORMAL]	[11,14,NORMAL]	[12,14,NORMAL]	[13,14,NORMAL]	[14,14,NORMAL]	[15,14,NORMAL]	[16,14,NORMAL]	[17,14,NORMAL]	[18,14,NORMAL]	[19,14,NORMAL]	[20,14,NORMAL]	[21,14,NORMAL]	[22,14,NORMAL]	[23,14,NORMAL]	[24,14,NORMAL]	[25,14,NORMAL]	[26,14,NORMAL]	[27,14,NORMAL]	[28,14,NORMAL]	[29,14,NORMAL]	[30,14,NORMAL]	[31,14,NORMAL]	[32,14,NORMAL]	[33,14,NORMAL]	[34,14,NORMAL]	[35,14,NORMAL]	[36,14,NORMAL]	[37,14,NORMAL]	[38,14,NORMAL]	[39,14,NORMAL]	[40,14,NORMAL]	[41,14,NORMAL]	[42,14,NORMAL]	[43,14,NORMAL]	[44,14,NORMAL]
[0,15,NORMAL]	[1,15,NORMAL]	[2,15,NORMAL]	[3,15,NORMAL]	[4,15,NORMAL]	[5,15,NORMAL]	[6,15,NORMAL]	[7,15,NORMAL]	[8,15,NORMAL]	[9,15,NORMAL]	[10,15,NORMAL]	[11,15,NORMAL]	[12,15,NORMAL]	[13,15,NORMAL]	[14,15,NORMAL]	[15,15,NORMAL]	[16,15,NORMAL]	[17,15,NORMAL]	[18,15,NORMAL]	[19,15,NORMAL]	[20,15,NORMAL]	[21,15,NORMAL]	[22,15,NORMAL]	[23,15,NORMAL]	[24,15,NORMAL]	[25,15,NORMAL]	[26,15,NORMAL]	[27,15,NORMAL]	[28,15,NORMAL]	[29,15,NORMAL]	[30,15,NORMAL]	[31,15,NORMAL]	[32,15,NORMAL]	[33,15,NORMAL]	[34,15,NORMAL]	[35,15,NORMAL]	[36,15,NORMAL]	[37,15,NORMAL]	[38,15,NORMAL]	[39,15,NORMAL]	[40,15,NORMAL]	[41,15,NORMAL]	[42,15,NORMAL]	[43,15,NORMAL]	[44,15,NORMAL]
[0,16,NORMAL]	[1,16,NORMAL]	[2,16,NORMAL]	[3,16,NORMAL]	[4,16,NORMAL]	[5,16,NORMAL]	[6,16,NORMAL]	[7,16,NORMAL]	[8,16,NORMAL]	[9,16,NORMAL]	[10,16,NORMAL]	[11,16,NORMAL]	[12,16,NORMAL]	[13,16,NORMAL]	[14,16,NORMAL]	[15,16,NORMAL]	[16,16,NORMAL]	[17,16,NORMAL]	[18,16,NORMAL]	[19,16,NORMAL]	[20,16,NORMAL]	[21,16,NORMAL]	[22,16,NORMAL]	[23,16,NORMAL]	[24,16,NORMAL]	[25,16,NORMAL]	[26,16,NORMAL]	[27,16,NORMAL]	[28,16,NORMAL]	[29,16,NORMAL]	[30,16,NORMAL]	[31,16,NORMAL]	[32,16,NORMAL]	[33,16,NORMAL]	[34,16,NORMAL]	[35,16,NORMAL]	[36,16,NORMAL]	[37,16,NORMAL]	[38,16,NORMAL]	[39,16,NORMAL]	[40,16,NORMAL]	[41,16,NORMAL]	[42,16,NORMAL]	[43,16,NORMAL]	[44,16,NORMAL]
[0,17,NORMAL]	[1,17,NORMAL]	[2,17,NORMAL]	[3,17,NORMAL]	[4,17,NORMAL]	[5,17,NORMAL]	[6,17,NORMAL]	[7,17,NORMAL]	[8,17,NORMAL]	[9,17,NORMAL]	[10,17,NORMAL]	[11,17,NORMAL]	[12,17,NORMAL]	[13,17,NORMAL]	[14,17,NORMAL]	[15,17,NORMAL]	[16,17,NORMAL]	[17,17,NORMAL]	[18,17,NORMAL]	[19,17,NORMAL]	[20,17,NORMAL]	[21,17,NORMAL]	[22,17,NORMAL]	[23,17,NORMAL]	[24,17,NORMAL]	[25,17,NORMAL]	[26,17,NORMAL]	[27,17,NORMAL]	[28,17,NORMAL]	[29,17,NORMAL]	[30,17,NORMAL]	[31,17,NORMAL]	[32,17,NORMAL]	[33,17,NORMAL]	[34,17,NORMAL]	[35,17,NORMAL]	[36,17,NORMAL]	[37,17,NORMAL]	[38,17,NORMAL]	[39,17,NORMAL]	[40,17,NORMAL]	[41,17,NORMAL]	[42,17,NORMAL]	[43,17,NORMAL]	[44,17,NORMAL]
[0,18,NORMAL]	[1,18,NORMAL]	[2,18,NORMAL]	[3,18,NORMAL]	[4,18,NORMAL]	[5,18,NORMAL]	[6,18,NORMAL]	[7,18,NORMAL]	[8,18,NORMAL]	[9,18,NORMAL]	[10,18,NORMAL]	[11,18,NORMAL]	[12,18,NORMAL]	[13,18,NORMAL]	[14,18,NORMAL]	[15,18,NORMAL]	[16,18,NORMAL]	[17,18,NORMAL]	[18,18,NORMAL]	[19,18,NORMAL]	[20,18,NORMAL]	[21,18,NORMAL]	[22,18,NORMAL]	[23,18,NORMAL]	[24,18,NORMAL]	[25,18,NORMAL]	[26,18,NORMAL]	[27,18,NORMAL]	[28,18,NORMAL]	[29,18,NORMAL]	[30,18,NORMAL]	[31,18,NORMAL]	[32,18,NORMAL]	[33,18,NORMAL]	[34,18,NORMAL]	[35,18,NORMAL]	[36,18,NORMAL]	[37,18,NORMAL]	[38,18,NORMAL]	[39,18,NORMAL]	[40,18,NORMAL]	[41,18,NORMAL]	[42,18,NORMAL]	[43,18,NORMAL]	[44,18,NORMAL]
[0,19,NORMAL]	[1,19,NORMAL]	[2,19,NORMAL]	[3,19,NORMAL]	[4,19,NORMAL]	[5,19,NORMAL]	[6,19,NORMAL]	[7,19,NORMAL]	[8,19,NORMAL]	[9,19,NORMAL]	[10,19,NORMAL]	[11,19,NORMAL]	[12,19,NORMAL]	[13,19,NORMAL]	[14,19,NORMAL]	[15,19,NORMAL]	[16,19,NORMAL]	[17,19,NORMAL]	[18,19,NORMAL]	[19,19,NORMAL]	[20,19,NORMAL]	[21,19,NORMAL]	[22,19,NORMAL]	[23,19,NORMAL]	[24,19,NORMAL]	[25,19,NORMAL]	[26,19,NORMAL]	[27,19,NORMAL]	[28,19,NORMAL]	[29,19,NORMAL]	[30,19,NORMAL]	[31,19,NORMAL]	[32,19,NORMAL]	[33,19,NORMAL]	[34,19,NORMAL]	[35,19,NORMAL]	[36,19,NORMAL]	[37,19,NORMAL]	[38,19,NORMAL]	[39,19,NORMAL]	[40,19,NORMAL]	[41,19,NORMAL]	[42,19,NORMAL]	[43,19,NORMAL]	[44,19,NORMAL]
[0,20,NORMAL]	[1,20,NORMAL]	[2,20,NORMAL]	[3,20,NORMAL]	[4,20,NORMAL]	[5,20,NORMAL]	[6,20,NORMAL]	[7,20,NORMAL]	[8,20,NORMAL]	[9,20,NORMAL]	[10,20,NORMAL]	[11,20,NORMAL]	[12,20,NORMAL]	[13,20,NORMAL]	[14,20,NORMAL]	[15,20,NORMAL]	[16,20,NORMAL]	[17,20,NORMAL]	[18,20,NORMAL]	[19,20,NORMAL]	[20,20,NORMAL]	[21,20,NORMAL]	[22,20,NORMAL]	[23,20,NORMAL]	[24,20,NORMAL]	[25,20,NORMAL]	[26,20,NORMAL]	[27,20,NORMAL]	[28,20,NORMAL]	[29,20,NORMAL]	[30,20,NORMAL]	[31,20,NORMAL]	[32,20,NORMAL]	[33,20,NORMAL]	[34,20,NORMAL]	[35,20,NORMAL]	[36,20,NORMAL]	[37,20,NORMAL]	[38,20,NORMAL]	[39,20,NORMAL]	[40,20,NORMAL]	[41,20,NORMAL]	[42,20,NORMAL]	[43,20,NORMAL]	[44,20,NORMAL]
[0,21,NORMAL]	[1,21,NORMAL]	[2,21,NORMAL]	[3,21,NORMAL]	[4,21,NORMAL]	[5,21,NORMAL]	[6,21,NORMAL]	[7,21,NORMAL]	[8,21,NORMAL]	[9,21,NORMAL]	[10,21,NORMAL]	[11,21,NORMAL]	[12,21,NORMAL]	[13,21,NORMAL]	[14,21,NORMAL]	[15,21,NORMAL]	[16,21,NORMAL]	[17,21,NORMAL]	[18,21,NORMAL]	[19,21,NORMAL]	[20,21,NORMAL]	[21,21,NORMAL]	[22,21,NORMAL]	[23,21,NORMAL]	[24,21,NORMAL]	[25,21,NORMAL]	[26,21,NORMAL]	[27,21,NORMAL]	[28,21,NORMAL]	[29,21,NORMAL]	[30,21,NORMAL]	[31,21,NORMAL]	[32,21,NORMAL]	[33,21,NORMAL]	[34,21,NORMAL]	[35,21,NORMAL]	[36,21,NORMAL]	[37,21,NORMAL]	[38,21,NORMAL]	[39,21,NORMAL]	[40,21,NORMAL]	[41,21,NORMAL]	[42,21,NORMAL]	[43,21,NORMAL]	[44,21,NORMAL]
[0,22,NORMAL]	[1,22,NORMAL]	[2,22,NORMAL]	[3,22,NORMAL]	[4,22,NORMAL]	[5,22,NORMAL]	[6,22,NORMAL]	[7,22,NORMAL]	[8,22,NORMAL]	[9,22,NORMAL]	[10,22,NORMAL]	[11,22,NORMAL]	[12,22,NORMAL]	[13,22,NORMAL]	[14,22,NORMAL]	[15,22,NORMAL]	[16,22,NORMAL]	[17,22,NORMAL]	[18,22,NORMAL]	[19,22,NORMAL]	[20,22,NORMAL]	[21,22,NORMAL]	[22,22,START]	[23,22,NORMAL]	[24,22,NORMAL]	[25,22,NORMAL]	[26,22,NORMAL]	[27,22,NORMAL]	[28,22,NORMAL]	[29,22,NORMAL]	[30,22,NORMAL]	[31,22,NORMAL]	[32,22,NORMAL]	[33,22,NORMAL]	[34,22,NORMAL]	[35,22,NORMAL]	[36,22,NORMAL]	[37,22,NORMAL]	[38,22,NORMAL]	[39,22,NORMAL]	[40,22,NORMAL]	[41,22,NORMAL]	[42,22,NORMAL]	[43,22,NORMAL]	[44,22,NORMAL]
[0,23,NORMAL]	[1,23,NORMAL]	[2,23,NORMAL]	[3,23,NORMAL]	[4,23,NORMAL]	[5,23,NORMAL]	[6,23,NORMAL]	[7,23,NORMAL]	[8,23,NORMAL]	[9,23,NORMAL]	[10,23,NORMAL]	[11,23,NORMAL]	[12,23,NORMAL]	[13,23,NORMAL]	[14,23,NORMAL]	[15,23,NORMAL]	[16,23,NORMAL]	[17,23,NORMAL]	[18,23,NORMAL]	[19,23,NORMAL]	[20,23,NORMAL]	[21,23,NORMAL]	[22,23,NORMAL]	[23,23,NORMAL]	[24,23,NORMAL]	[25,23,NORMAL]	[26,23,NORMAL]	[27,23,NORMAL]	[28,23,NORMAL]	[29,23,NORMAL]	[30,23,NORMAL]	[31,23,NORMAL]	[32,23,NORMAL]	[33,23,NORMAL]	[34,23,NORMAL]	[35,23,NORMAL]	[36,23,NORMAL]	[37,23,NORMAL]	[38,23,NORMAL]	[39,23,NORMAL]	[40,23,NORMAL]	[41,23,NORMAL]	[42,23,NORMAL]	[43,23,NORMAL]	[44,23,NORMAL]
